Frequency,Nominal,Min,Max
10,-11.387749258754516,-12.079253882757222,-10.708099678209402
10.232929922807541,-11.65392199294914,-12.361713898857351,-10.958284983079833
10.471285480508994,-11.926361415720976,-12.650833224739257,-11.214353116813184
10.715193052376064,-12.205218399399401,-12.946772868737815,-11.476445156588639
10.96478196143185,-12.490647696828377,-13.249698031861408,-11.74470576680683
11.220184543019634,-12.782808059815778,-13.559778239566798,-12.019283305567368
11.481536214968827,-13.081862362569076,-13.877187479335255,-12.300329935430137
11.748975549395295,-13.387977730418875,-14.202104344414112,-12.5880017387085
12.022644346174129,-13.701325674154182,-14.534712184116655,-12.882458837560863
12.302687708123814,-14.022082230319093,-14.875199261104292,-13.183865519167405
12.589254117941671,-14.350428107847627,-15.223758916108874,-13.4923903663008
12.882495516931337,-14.68654884144304,-15.580589740589863,-13.808206393623115
13.182567385564068,-15.030634952140653,-15.945895757861237,-14.131491190067562
13.489628825916533,-15.382882115528101,-16.319886613266494,-14.462427067691289
13.803842646028844,-15.743491338135334,-16.702777774027904,-14.801201217416489
14.125375446227538,-16.112669142548363,-17.094790739447475,-15.148005872109978
14.45439770745927,-16.490627761845953,-17.49615326219378,-15.503038477487907
14.791083881682068,-16.87758534400806,-17.907099581469705,-15.866501871371343
15.135612484362076,-17.27376616699818,-18.327870668923005,-16.238604471861695
15.488166189124808,-17.67940086528061,-18.758714488233824,-16.619560475051127
15.84893192461113,-18.094726668596795,-19.19988626939234,-17.009590062934418
16.218100973589294,-18.519987653894535,-19.65164879876524,-17.40891962224344
16.5958690743756,-18.955435011378704,-20.114272726142598,-17.817781974985984
16.982436524617437,-19.401327325734275,-20.588036890058074,-18.236416621535902
17.37800828749375,-19.857930873660948,-21.073228662784537,-18.665069997192493
17.78279410038922,-20.32551993895556,-21.570144316526058,-19.10399574320509
18.197008586099827,-20.804377146483073,-22.079089412455925,-19.553454993341994
18.620871366628666,-21.294793816490383,-22.600379214388827,-20.013716677175218
19.054607179632463,-21.797070340840335,-23.134339129025854,-20.485057841351036
