Frequency,Nominal,Min,Max
10,1189160.837337805,1102270.5227393047,1285239.683532576
10.232929922807541,1150063.3239146625,1065284.6594485603,1243875.025750837
10.471285480508994,1111947.817192434,1029255.1971214948,1203519.8648557996
10.715193052376064,1074800.4807943248,994168.4032239676,1164160.0313208348
10.96478196143185,1038607.5960550202,960010.5882496898,1125781.5610832132
11.220184543019634,1003355.5311307136,926768.0795857597,1088370.661038909
11.481536214968827,969030.7119456131,894427.1976338621,1051913.6758458116
11.748975549395295,935619.5951444122,862974.2343094012,1016397.0562347382
12.022644346174129,903108.6432025897,832395.4340174953,981807.3290193501
12.302687708123814,871484.3018273303,802676.9771808122,948131.06898224
12.589254117941671,840732.9797594041,773804.9663689095,915354.8727994151
12.882495516931337,810841.0310639193,745765.4150530292,883465.3351475019
13.182567385564068,781794.7399727437,718544.2389844113,852449.0271176847
13.489628825916533,753580.3083165172,692127.2501687983,822292.4770386571
13.803842646028844,726183.8455584038,666500.1533849332,792982.1537869964
14.125375446227538,699591.3614163143,641648.5451715699,764504.4526391951
14.45439770745927,673788.7610353942,617557.9151853587,736845.6836942855
14.791083881682068,648761.84264855,594213.6498120471,709992.0628704565
15.135612484362076,624496.2976402281,571601.0378954166,683929.7054543768
15.488166189124808,600977.7129077166,549705.2784329079,658644.6221570985
15.84893192461113,578191.5753951928,528511.4900738361,634122.7176073885
16.218100973589294,556123.2786592694,508004.722245638,610349.7911913502
16.5958690743756,534758.1313101649,488169.967726006,587311.5401270349
16.982436524617437,514081.3671612254,468992.1764735244,564993.5646449479
17.37800828749375,494078.1569101803,450456.2705270795,543381.3751292364
17.78279410038922,474733.62116916187,432547.1597842577,522460.4010614104
18.197008586099827,456032.84465661534,415249.7584711924,502216.0015974319
18.620871366628666,437960.8913629077,398549.0021209799,482633.4776009864
19.054607179632463,420502.82050246955,382429.8648839343,463698.08495018666
19.498445997580443,403643.70306861785,366877.37700123916,445395.04893203976
19.952623149688787,387368.63881245995,351876.64228300063,427709.5795384147
20.417379446695282,371662.77347443916,337412.8554424622,410626.8874790529
20.892961308540382,356511.3161057604,323471.31914981623,394132.2007312248
21.379620895022306,341899.55632689525,310037.46068149654,378210.78145133954
21.87761623949551,327812.881381536,297096.848053636,362847.94308152195
22.38721138568338,314236.79285621236,284635.20554146625,348029.0674932295
22.908676527677713,301156.9229483238,272638.4284996568,333739.6220202073
23.442288153199204,288559.0501781922,261092.59741149633,319965.176244451
23.988329190194886,276429.1144537695,249983.99110754783,306691.4184107855
24.547089156850284,264753.2314095772,239299.09910665484,293904.17135823914
25.11886431509578,253517.70595422128,229024.63304381134,281589.40786919935
25.703957827688615,242709.04497320103,219147.53716043508,269733.2653501777
26.302679918953796,232313.96914559096,209654.9978428123,258322.0597708702
26.915348039269134,222319.42384446412,200534.45220398437,247342.29880063192
27.54228703338164,212712.58910146463,191773.59571293095,236780.6940936532
28.183829312644512,203480.88862576985,183360.38888270588,226624.172685638
28.840315031266034,194611.99787666887,175283.0630360913,216859.88747574115
29.51209226666383,186093.85119715755,167530.1251733998,207475.22677773237
30.199517204020136,177914.64802325683,160090.36197229318,198457.82293379155
30.902954325135877,170062.8581902342,152952.84295392502,189795.559992995
31.622776601683764,162527.22636254926,146106.92285337497,181476.5804643188
32.3593656929628,155296.77561915643,139542.2432353013,173489.29116099104
33.11311214825908,148360.81022986126,133248.73339797588,165822.36815910967
33.88441561392022,141708.91766170604,127216.61061051756,158464.76089877074
34.67368504525312,135330.96985700048,121436.37972915014,151405.69546046088
35.481338923357505,129217.12382653143,115898.83223882099,144634.67705321987
36.30780547701009,123357.82160284527,110595.04476647494,138141.49175411853
37.15352290971721,117743.78959926747,105516.37711181554,131916.2075409496
38.018939632056075,112366.03742057526,100654.4698404443,125949.17466175676
38.90451449942801,107215.85617101287,96001.2414829483,120231.02538595672
39.81071705534967,102284.8163046561,91548.88538177112,114752.6731824033
40.738027780411215,97564.76506204059,87289.86622558696,109505.31136982799
41.68693834703348,93047.82353546299,83216.91630840137,104480.41128470738
42.6579518801592,88726.38340348657,79323.03154768879,99669.72001079934
43.651583224016534,84593.10337291755,75601.46729254191,95065.25771336265
44.668359215096245,80640.90536385801,72045.73394900662,90659.3146194664
45.70881896148743,76862.97047038304,68649.59244544004,86444.44768380113
46.77351412871975,73252.73472587903,65407.04955580857,82413.47697703751
47.86300923226376,69803.88469808966,62312.35309323921,78559.48183100969
48.97788193684454,66510.35293437038,59359.986979764784,74875.79677183084
50.118723362727145,63366.31327248961,56544.66619095395,71356.00726841518
51.2861383991364,60366.17602643586,53861.33156588925,67993.9453197571
52.480746024977165,57504.5830500039,51305.14446365157,64783.68489961779
53.70317963702517,54776.40267333434,48871.481237020744,61719.537271934176
54.95408738576235,52176.72449896349,46555.92748248056,58796.04618418582
56.2341325190348,49700.85403422949,44354.27201288848,56007.982939043155
57.54399373371558,47344.3071260113,42262.5004854988,53350.341336773505
58.88436553555878,45102.804151766264,40276.788603775596,50818.33247199091
60.25595860743565,42972.2639077807,38393.49479718309,48407.379358342165
61.65950018614809,40948.79712169741,36609.15226980288,46113.11134357601
63.09573444801919,39028.69950218668,34920.46029750046,43931.35826518909
64.56542290346542,37208.44422479056,33324.27464622049,41858.14428361896
66.06934480075947,35484.67374056252,31817.59698311158,39889.68131606813
67.60829753919803,33854.19078463154,30397.563160381284,38022.36198001112
69.1830970918935,32313.948457220198,29061.43027228165,36252.751942078656
70.79457843841364,30861.03925243947,27806.562421864484,34577.58155651045
72.44359600749884,29492.682923353823,26630.415189356838,32993.73666935281
